epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,4.50874,0.58174,1.59381,0.81805,0.00333,1,0.4975,0.398,0.7634,2.93115,1.42109,7.3664e-05,7.3664e-05,7.3664e-05
6,5.14115,0.30402,1.49262,0.69446,0.00333,1,0.4975,0.398,0.7782,2.91776,1.3594,9.01e-05,9.01e-05,9.01e-05
7,5.85644,0.65285,1.60972,0.91623,0.00333,1,0.33167,0.26533,0.77179,2.89086,1.33539,0.000105744,0.000105744,0.000105744
8,6.47287,1.27469,1.61139,1.27466,0.00333,1,0.33167,0.26533,0.742,2.89611,1.3124,0.000120596,0.000120596,0.000120596
9,7.05984,1.27801,1.92613,1.52315,0.00333,1,0.24875,0.22387,0.7014,2.90384,1.31539,0.000134656,0.000134656,0.000134656
10,7.66628,0.89243,1.28978,1.00125,0.00333,1,0.24875,0.22387,0.76604,2.94209,1.36932,0.000147924,0.000147924,0.000147924
11,8.46082,0.76279,1.19814,1.02005,0.00333,1,0.24875,0.17413,0.89861,2.90842,1.50646,0.0001604,0.0001604,0.0001604
1,1.39824,0.47317,2.08686,0.86242,0.00333,1,0.4975,0.398,0.75125,2.92781,1.39108,0,0,0
2,2.26168,0.51818,1.53098,1.0006,0.00333,1,0.4975,0.398,0.72622,2.94551,1.37931,1.9604e-05,1.9604e-05,1.9604e-05
3,3.054,0.34621,1.4544,0.84463,0.00333,1,0.33167,0.26533,0.69884,2.95895,1.32071,3.8416e-05,3.8416e-05,3.8416e-05
4,3.66003,0.29466,1.6041,0.82253,0.00333,1,0.33167,0.26533,0.66766,2.9712,1.31301,5.6436e-05,5.6436e-05,5.6436e-05
5,4.30896,0.32749,1.59795,0.8318,0.00333,1,0.4975,0.398,0.64659,2.98463,1.35191,7.3664e-05,7.3664e-05,7.3664e-05
6,4.96404,0.27967,1.48727,0.67989,0.00333,1,0.4975,0.398,0.64316,2.96729,1.33929,9.01e-05,9.01e-05,9.01e-05
7,5.64122,0.63837,1.65593,0.97723,0.00333,1,0.4975,0.398,0.63076,2.95932,1.33719,0.000105744,0.000105744,0.000105744
8,6.3234,1.08373,1.65554,1.18125,0.00333,1,0.4975,0.398,0.64475,2.94778,1.32455,0.000120596,0.000120596,0.000120596
9,7.05644,1.0208,2.19229,1.13047,0.00333,1,0.4975,0.398,0.68463,2.94342,1.32991,0.000134656,0.000134656,0.000134656
10,7.73735,0.52088,1.62499,0.981,0.00333,1,0.4975,0.398,0.80581,2.97449,1.38585,0.000147924,0.000147924,0.000147924
11,8.454,0.58639,1.89415,0.79531,0.00333,1,0.995,0.796,0.79853,3.03497,1.46372,0.0001604,0.0001604,0.0001604
12,9.09984,0.34526,2.52978,1.07719,0.00333,1,0.995,0.6965,0.7705,2.99594,1.40939,0.000172084,0.000172084,0.000172084
13,9.75548,0.44576,1.20782,0.92485,0.00333,1,0.995,0.6965,0.78334,3.01864,1.448,0.000182976,0.000182976,0.000182976
14,10.4253,0.75062,1.0864,1.18827,0.00333,1,0.995,0.597,0.85276,2.96084,1.45904,0.000193076,0.000193076,0.000193076
15,11.1788,0,14.1457,0,0.00333,1,0.995,0.6965,0.78429,2.91705,1.41123,0.000202384,0.000202384,0.000202384
16,11.7571,0.65568,1.39393,0.90451,0.00333,1,0.995,0.796,0.8029,2.85254,1.41384,0.0002109,0.0002109,0.0002109
17,12.4108,0.31594,1.39162,0.89737,0.00333,1,0.995,0.6965,0.89127,2.85892,1.44861,0.000218624,0.000218624,0.000218624
18,12.9383,1.14326,1.82414,1.05682,0.00333,1,0.995,0.6965,0.89127,2.85892,1.44861,0.000225556,0.000225556,0.000225556
19,13.5063,0.75156,1.33279,0.92141,0.00333,1,0.995,0.6965,0.8933,2.88491,1.46961,0.000231696,0.000231696,0.000231696
20,14.0472,1.12812,1.45807,0.81989,0.00333,1,0.995,0.6965,0.8933,2.88491,1.46961,0.000237044,0.000237044,0.000237044
21,14.6473,1.16367,1.11141,0.94377,0.00333,1,0.995,0.6965,0.87062,2.88457,1.46855,0.0002416,0.0002416,0.0002416
